代码,名称,涨幅%,现价,涨跌,涨速%,主力净量,总手,换手%,量比,所属行业,振幅%,现手,开盘,昨收,最高,最低,买价,卖价,市盈(动),市净率,买量,卖量,委比%,总金额,均笔额,笔数,手/笔,外盘,内盘,总市值,流通市值,贡献度
885493,上海国资改革,1.04,1672.314,17.156,0.03,1.28,1741093400,--,2.81,--,5.11,47400--,1657.195,1655.158,1688.611,1603.975,--,--,--,--,--,--,--,23829377000,22138.2,1076392,1618,--,--,1.25535E+12,--,--
885391,转融券标的,-1.64,1161.425,-19.32,0.18,-0.15,5572248100,--,1.96,--,4.01,17846600--,1181.291,1180.745,1185.866,1138.46,--,--,--,--,--,--,--,59023939000,26108.65,2260704,2465,--,--,1.40304E+13,--,--
885633,分散染料,-2.23,1391.795,-31.793,-0.05,-1.44,246883900,--,3.21,--,6.09,1312860--,1425.486,1423.588,1435.451,1348.771,--,--,--,--,--,--,--,3015524500,21371.69,141099,1750,--,--,1.61686E+11,--,--
885616,迪士尼,-2.35,1707.788,-41.06,0.07,-0.54,1472441400,--,2.11,--,5.89,4359800--,1750.141,1748.848,1763.029,1660.075,--,--,--,--,--,--,--,18428436000,19369.12,951434,1548,--,--,8.44358E+11,--,--
885487,天津自贸区,-2.4,1358.949,-33.417,-0.07,-1.77,274002490,--,1.87,--,5.66,977020--,1409.454,1392.366,1416.416,1337.557,--,--,--,--,--,--,--,2407833700,18410.2,130788,2095,--,--,1.01843E+11,--,--
885733,航运,-2.53,1028.72,-26.687,0.04,-1.02,405695090,--,2.23,--,5.34,864870--,1062.644,1055.407,1071.464,1015.151,--,--,--,--,--,--,--,3027536400,15760.54,192096,2112,--,--,2.47353E+11,--,--
885472,上海自贸区,-2.54,3032.412,-79.084,0.19,-0.75,1126279240,--,1.88,--,5.76,1906970--,3112.474,3111.496,3133.795,2954.452,--,--,--,--,--,--,--,13747763000,21366.93,643413,1750,--,--,1.00595E+12,--,--
885640,草甘膦,-2.57,730.932,-19.255,0,-2.92,168221130,--,1.9,--,5.9,282120--,753.104,750.187,760.44,716.179,--,--,--,--,--,--,--,1566691500,17298.7,90567,1857,--,--,71266993000,--,--
885527,医疗改革,-2.57,1459.75,-38.519,0.06,-1.04,1165063180,--,1.89,--,5.16,3533700--,1502.028,1498.269,1511.617,1434.334,--,--,--,--,--,--,--,18667994000,24918.6,749159,1555,--,--,1.10387E+12,--,--
885588,电力改革,-2.64,1434.028,-38.917,0.12,0.07,1114402990,--,2.44,--,4.68,2765770--,1475.387,1472.945,1483.682,1414.686,--,--,--,--,--,--,--,8073797300,19087.67,422985,2635,--,--,9.89205E+11,--,--
885530,黄金,-2.71,2375.233,-66.09,-0.11,-3.1,1464140200,--,1.48,--,6.09,3309300--,2436.983,2441.323,2436.983,2288.392,--,--,--,--,--,--,--,18374969000,18778.65,978503,1496,--,--,6.04216E+11,--,--
885694,深港通,-2.91,965.758,-28.904,0.09,-0.64,569584770,--,1.4,--,5.29,5252110--,996.008,994.662,1001.742,949.083,--,--,--,--,--,--,--,9677701400,21621.12,447604,1273,--,--,5.14173E+11,--,--
885494,一带一路,-2.99,1252.013,-38.58,0.07,-0.06,4119441700,--,2.16,--,5.1,336400--,1291.203,1290.593,1299.708,1233.899,--,--,--,--,--,--,--,32300175000,18355.81,1759670,2341,--,--,6.33363E+12,--,--
885521,粤港澳自贸区,-3.01,1495.457,-46.45,0.07,-0.9,304628700,--,2.01,--,5.82,1968940--,1543.931,1541.907,1557.519,1467.703,--,--,--,--,--,--,--,3349078500,20823.98,160828,1894,--,--,2.52449E+11,--,--
885481,电子发票,-3.08,2917.608,-92.718,0.21,-2.93,234827180,--,1.54,--,6.82,2027530--,3014.54,3010.326,3033.807,2828.502,--,--,--,--,--,--,--,3689456600,25800.76,142998,1642,--,--,1.07242E+11,--,--
885520,沪港通概念,-3.1,1546.313,-49.538,0.09,-0.4,17517975000,--,1.98,--,5.12,963000--,1596.43,1595.851,1602.585,1520.818,--,--,--,--,--,--,--,1.84139E+11,22632.1,8136181,2153,--,--,2.31627E+13,--,--
885697,深圳国资改革,-3.32,1149.241,-39.453,0.02,-0.17,346470950,--,1.86,--,5.97,4242120--,1187.446,1188.694,1195.43,1124.448,--,--,--,--,--,--,--,4602214000,17876.15,257450,1346,--,--,2.34377E+11,--,--
885704,东盟自贸区,-3.32,971.885,-33.375,0.01,-1.75,497918650,--,1.77,--,5.27,2325690--,1005.26,1005.26,1009.281,956.337,--,--,--,--,--,--,--,5048724100,19384.84,260447,1912,--,--,3.49028E+11,--,--
885620,参股券商,-3.39,1196.719,-42.054,0.04,-1.59,2360313300,--,1.89,--,5.48,6640400--,1239.545,1238.773,1243.632,1175.805,--,--,--,--,--,--,--,26762667000,21948.92,1219316,1936,--,--,1.32174E+12,--,--
