代码,名称,涨幅%,现价,涨跌,涨速%,主力净量,总手,换手%,量比,所属行业,振幅%,现手,开盘,昨收,最高,最低,买价,卖价,市盈(动),市净率,买量,卖量,委比%,总金额,均笔额,笔数,手/笔,外盘,内盘,总市值,流通市值,贡献度
881150,公交,1.56,1814.678,27.918,0,7.03,263917810,--,3.33,--,5.51,82870--,1809.095,1786.76,1839.916,1741.421,--,--,--,--,--,--,--,3060593100,16524.45,185216,1425,--,--,68488780000,--,--
881155,银行,-0.19,1025.581,-1.987,0.34,0.07,1267550340,--,1.85,--,2.03,1872570--,1027.157,1027.568,1029.966,1009.072,--,--,--,--,--,--,--,8590169700,35911.93,239201,5299,--,--,7.3196E+12,--,--
881151,机场航运,-1.2,1903.803,-23.123,0.24,-0.18,495030910,--,2.09,--,4.67,692700--,1928.503,1926.926,1951.976,1861.936,--,--,--,--,--,--,--,4107267500,21427.4,191683,2583,--,--,5.03714E+11,--,--
881148,港口航运,-1.57,854.15,-13.627,0.08,-0.07,1009227850,--,3.12,--,5.1,1320520--,871.859,867.777,886.868,842.579,--,--,--,--,--,--,--,6052652800,14767.65,409859,2462,--,--,5.85141E+11,--,--
881154,园区开发,-2.08,1964.549,-41.731,0.1,-0.18,177096780,--,1.96,--,5.91,41670--,2007.484,2006.28,2025.741,1907.17,--,--,--,--,--,--,--,3320976700,22478.22,147742,1199,--,--,2.07432E+11,--,--
881161,酒店及餐饮,-2.11,1864.859,-40.28,-0.02,4.49,162615180,--,2.61,--,5.34,977300--,1907.316,1905.139,1907.861,1806.072,--,--,--,--,--,--,--,1786990900,20289.19,88076,1846,--,--,55458879000,--,--
881149,公路铁路运输,-2.55,767.74,-20.09,0.09,0.17,379308540,--,2,--,4.01,406850--,788.106,787.83,791.06,759.429,--,--,--,--,--,--,--,2208857300,16949.62,130319,2911,--,--,3.4238E+11,--,--
881104,农业服务,-2.62,8981.06,-241.845,-0.01,-1.82,122766132,--,2.22,--,6.59,413500--,9249.421,9222.905,9370.471,8762.785,--,--,--,--,--,--,--,1858460500,22489.72,82636,1486,--,--,79566901000,--,--
881145,电力,-3.2,1194.851,-39.479,0.07,-0.18,1703854500,--,2.22,--,5.01,4309500--,1234.33,1234.33,1240.322,1178.467,--,--,--,--,--,--,--,12300816600,17302.28,710936,2397,--,--,1.41198E+12,--,--
881141,中药,-3.25,3425.55,-114.948,0,-1.54,940773090,--,2.03,--,5.67,50700--,3544.157,3540.498,3565.281,3364.358,--,--,--,--,--,--,--,16909810000,23440.72,721386,1304,--,--,8.19417E+11,--,--
881143,医药商业,-3.25,5412.673,-181.669,-0.11,-1.61,207701500,--,1.44,--,6.15,983810--,5593.72,5594.342,5659.119,5314.919,--,--,--,--,--,--,--,4815877000,23304.4,206651,1005,--,--,3.05434E+11,--,--
881127,非汽车交运,-3.4,3231.112,-113.724,-0.03,-0.59,268095730,--,1.95,--,5.95,336400--,3342.686,3344.836,3360.127,3161.109,--,--,--,--,--,--,--,3476203300,20006.46,173754,1543,--,--,3.63167E+11,--,--
881157,证券,-3.47,1499.179,-53.898,0.35,-1.87,1854043500,--,2.15,--,5.63,11154300--,1551.927,1553.077,1553.48,1465.99,--,--,--,--,--,--,--,26621742000,27313.15,974686,1902,--,--,2.09854E+12,--,--
881156,保险及其他,-3.56,2594.266,-95.66,0.2,-0.69,503956500,--,2.11,--,5.44,1151820--,2692.448,2689.926,2692.784,2546.519,--,--,--,--,--,--,--,7609706900,33364.49,228078,2210,--,--,1.79247E+12,--,--
881153,房地产开发,-3.72,2305.365,-88.949,0.12,-1.7,3289362300,--,1.48,--,5.49,14713400--,2393.847,2394.314,2396.409,2265.041,--,--,--,--,--,--,--,33226870000,19778.44,1679954,1958,--,--,2.05179E+12,--,--
881133,饮料制造,-3.72,1822.661,-70.34,-0.05,-1.65,658719730,--,1.67,--,5.89,3722800--,1891.855,1893.001,1892.453,1780.965,--,--,--,--,--,--,--,12779216000,21566.8,592541,1112,--,--,1.04017E+12,--,--
881140,化学制药,-3.75,3991.665,-155.487,0,-1.57,981735900,--,1.96,--,5.31,92600--,4152.256,4147.152,4161.079,3940.785,--,--,--,--,--,--,--,16337021000,24612.62,663766,1479,--,--,8.45693E+11,--,--
881112,钢铁,-3.81,908.376,-35.949,-0.03,-1.54,1163202000,--,1.89,--,5.7,4349270--,946.149,944.325,949.503,895.676,--,--,--,--,--,--,--,5867427500,16460.41,356457,3263,--,--,4.40886E+11,--,--
881165,综合,-3.85,2265.859,-90.617,-0.09,-4.78,903812510,--,1.41,--,5.9,5163720--,2361.832,2356.476,2371.115,2232.011,--,--,--,--,--,--,--,12797740900,21477.98,595854,1517,--,--,2.87143E+11,--,--
881146,燃气水务,-3.94,1683.364,-69.058,-0.01,-0.81,395428710,--,1.5,--,5.22,867530--,1752.961,1752.422,1759.951,1668.5,--,--,--,--,--,--,--,3686139400,17211.36,214169,1846,--,--,2.83015E+11,--,--
881160,景点及旅游,-3.96,2788.142,-114.812,-0.01,-1.64,169366000,--,1.71,--,5.61,1641330--,2903.68,2902.954,2903.68,2740.824,--,--,--,--,--,--,--,3293478700,19187.62,171646,987,--,--,2.03803E+11,--,--
881125,汽车整车,-4.01,1599.208,-66.791,0.01,-1.23,602257740,--,1.83,--,5.48,2268380--,1666.378,1665.999,1671.073,1579.821,--,--,--,--,--,--,--,7675042800,20094.21,381953,1577,--,--,8.95427E+11,--,--
881106,石油矿业开采,-4.03,1819.91,-76.422,0.16,-0.18,210754720,--,1.55,--,5.87,550070--,1902.021,1896.332,1902.59,1791.275,--,--,--,--,--,--,--,2328092200,20038.49,116181,1814,--,--,1.4349E+12,--,--
881142,生物制品,-4.11,5493.768,-235.301,-0.01,-2.94,430564860,--,1.77,--,5.62,166200--,5731.115,5729.069,5747.893,5425.633,--,--,--,--,--,--,--,9916051300,26934.59,368153,1170,--,--,5.22679E+11,--,--
881105,煤炭开采,-4.34,1174.164,-53.263,0.09,-1.42,860391460,--,1.48,--,6.17,2338620--,1228.692,1227.427,1231.556,1155.864,--,--,--,--,--,--,--,5857816700,17459.96,335500,2565,--,--,8.14075E+11,--,--
