,Symbol,Name
0,002503.SZ,搜于特
1,000615.SZ,京汉股份
2,002152.SZ,广电运通
3,002382.SZ,蓝帆医疗
4,002063.SZ,远光软件
5,603283.SS,赛腾股份
6,600903.SS,贵州燃气
7,300365.SZ,恒华科技
8,002907.SZ,华森制药
9,300664.SZ,鹏鹞环保
10,603655.SS,朗博科技
11,300468.SZ,四方精创
12,603080.SS,新疆火炬
13,002779.SZ,中坚科技
14,002922.SZ,伊戈尔
15,000926.SZ,福星股份
16,603138.SS,海量数据
17,000877.SZ,天山股份
18,300483.SZ,沃施股份
19,603161.SS,科华控股
20,002826.SZ,易明医药
21,603329.SS,上海雅仕
22,600333.SS,长春燃气
23,600093.SS,易见股份
24,300735.SZ,光弘科技
25,300684.SZ,中石科技
26,300542.SZ,新晨科技
27,300386.SZ,飞天诚信
28,002379.SZ,宏创控股
29,002369.SZ,卓翼科技
30,300176.SZ,鸿特精密
31,300736.SZ,百华悦邦
32,300541.SZ,先进数通
33,300730.SZ,科创信息
34,002235.SZ,安妮股份
35,603989.SS,艾华集团
36,300723.SZ,一品红
37,002893.SZ,华通热力
38,002923.SZ,润都股份
39,002921.SZ,联诚精密
40,600193.SS,创兴资源
41,300663.SZ,科蓝软件
42,000517.SZ,荣安地产
43,000681.SZ,视觉中国
44,600652.SS,游久游戏
45,002131.SZ,利欧股份
46,300465.SZ,高伟达
47,600797.SS,浙大网新
48,300602.SZ,飞荣达
49,603320.SS,迪贝电气
50,600856.SS,中天能源
51,300377.SZ,赢时胜
52,002649.SZ,博彦科技
53,002117.SZ,东港股份
54,603711.SS,香飘飘
55,600525.SS,长园集团
56,600570.SS,恒生电子
57,600466.SS,蓝光发展
58,300609.SZ,汇纳科技
59,002339.SZ,积成电子
60,002668.SZ,奥马电器
61,300130.SZ,新国都
62,300537.SZ,广信材料
63,002799.SZ,环球印务
64,600673.SS,东阳光科
65,002657.SZ,中科金财
66,002177.SZ,御银股份
67,300507.SZ,苏奥传感
68,600446.SS,金证股份
69,603881.SS,数据港
70,300431.SZ,暴风集团
71,000021.SZ,深科技
72,002304.SZ,洋河股份
73,600917.SS,重庆燃气
74,601166.SS,兴业银行
75,300352.SZ,北信源
76,600571.SS,信雅达
77,300051.SZ,三五互联
78,300473.SZ,德尔股份
79,600530.SS,交大昂立
80,002655.SZ,共达电声
81,300499.SZ,高澜股份
82,603689.SS,皖天然气
83,600760.SS,中航黑豹
84,603002.SS,宏昌电子
85,002853.SZ,皮阿诺
86,300178.SZ,腾邦国际
87,000982.SZ,*ST 中绒
88,002486.SZ,嘉麟杰
89,600299.SS,安迪苏
90,603039.SS,泛微网络
91,603589.SS,口子窖
92,002911.SZ,佛燃股份
93,300231.SZ,银信科技
94,600782.SS,新钢股份
95,000790.SZ,泰合健康
96,002268.SZ,卫 士 通
97,300579.SZ,数字认证
98,603729.SS,龙韵股份
99,000895.SZ,双汇发展
100,002280.SZ,联络互动
101,600206.SS,有研新材
102,600104.SS,上汽集团
103,600823.SS,世茂股份
104,600756.SS,浪潮软件
105,600258.SS,首旅酒店
106,002307.SZ,北新路桥
107,300339.SZ,润和软件
108,603559.SS,中通国脉
109,002104.SZ,恒宝股份
