,code,netprofits2cash,free_cash,debt_rights,accu_interests_profits,roe,netprof_new,timetomarket,pe,pb,querydate,pledge_ratio
0,002311,1.814455332420866,324698.07,0.3944320289458716,0.5734562861077397,13.42,123619.38,20091127,27.72,5.89,2020-04-24,10.63
1,300119,1.7140813213308752,38360.9,0.2550479724109,0.4034446656459843,20.2,125942.04,20100917,29.89,2.88,2020-04-24,11.97
2,000833,1.9395468849892594,10952.02,0.21909233667696296,0.3615813799583255,16.07,467577.65,19981111,44.16,1.1,2020-04-24,0.01
3,000833,1.9395468849892594,10952.02,0.21909233667696296,0.3615813799583255,16.07,467577.65,19981111,44.16,1.1,2020-04-24,0.01
4,000822,3.5910587058617827,58739.45,0.0,0.4807765143734136,18.83,8404.9,19980703,10.29,0.98,2020-04-24,0.01
5,002004,2.234293136271357,208214.47,0.46799102929746206,1.064521231705668,10.33,98422.7,20040625,14.24,1.05,2020-04-24,10.94
6,002360,1.1301883646144586,16672.81,0.09291936741787869,0.3809596587423992,35.64,6046.91,20100303,11.8,1.86,2020-04-24,11.95
7,002683,2.1958851403323663,82018.44,0.4374115008640932,0.45076681845237854,13.77,10055.97,20120612,62.11,5.53,2020-04-24,1.91
8,002601,0.7692492251149787,200354.63,0.3993542425748193,0.5122640086771252,10.77,9072.87,20110715,10.42,2.07,2020-04-24,24.72
9,002643,1.4183629830040856,75716.23,0.040733936383162216,0.46911583525537354,14.62,19605.87,20111220,26.89,2.8,2020-04-24,14.67
10,300107,1.1830445231644628,38509.72,0.0,1.0438095348780014,10.57,185455.09,20100820,9.06,1.99,2020-04-24,0.0
11,002538,1.1458972377331496,28705.23,0.06244830774280861,0.3897889989545251,19.78,78934.4,20110118,12.23,0.9,2020-04-24,25.07
12,002254,1.352358257980868,29017.47,0.2980525333058797,0.47729808978705296,17.22,18058.84,20080625,37.56,3.32,2020-04-24,0.0
13,002263,3.4173654624344674,20572.13,0.01181084533618571,0.5341144796935579,31.47,123529.46,20080728,88.29,1.64,2020-04-24,0.07
14,000612,6.818684940704088,72716.57,0.37366842953788665,0.36514044030810794,16.28,30318.74,19960926,118.05,1.0,2020-04-24,18.66
15,300327,1.2105610513744816,21955.97,0.0,0.5976404496211624,15.33,17406.34,20120613,48.7,8.72,2020-04-24,0.02
16,300373,1.6878989704339997,37208.45,0.07038550131815331,0.39985475017373523,10.4,13517.99,20140123,66.81,5.23,2020-04-24,5.08
17,000823,1.860669462430711,67285.25,0.09730434751213275,0.4094454434323858,10.85,14368.57,19971008,24.68,1.95,2020-04-24,14.9
18,300408,1.961686002159083,171466.03,0.0,0.31650534973789307,28.81,55342.53,20141203,40.2,4.9,2020-04-24,0.0
19,000541,1.674347055964278,50808.48,0.0,0.8530133479797708,27.08,13544.48,19931123,21.2,1.49,2020-04-24,14.92
20,002449,1.7326741551114466,68212.28,0.03174765146199991,0.4887537893421762,11.59,6656.24,20100716,18.36,2.09,2020-04-24,6.86
21,300390,2.270490438001234,14721.86,0.07084477378026165,0.40236684507248033,31.24,11885.15,20140731,74.05,5.69,2020-04-24,20.83
22,002241,4.261788061618823,545143.04,0.4028786415697488,0.3036715312057073,14.56,6940.91,20080522,42.33,3.45,2020-04-24,6.55
23,002139,1.1874163331736323,40447.77,0.1415469955758405,0.4388539381254784,12.92,7183.02,20070629,18.43,2.87,2020-04-24,13.01
24,000559,2.338375654845661,127645.59,0.3068198491845166,0.777401476480054,27.65,6308.49,19940110,25.98,2.84,2020-04-24,0.0
25,001696,1.697950655946616,78757.93,0.24071442853629216,0.5589572997441291,52.49,65692.73,19970306,16.11,1.74,2020-04-24,20.02
26,002553,1.628230004003819,6872.71,0.0,0.6910443825240437,12.79,20206.59,20110225,28.67,2.38,2020-04-24,0.0
27,002677,1.1812436129508543,54338.73,0.0,0.7286112692273732,12.19,17010.46,20120525,18.09,4.84,2020-04-24,9.14
28,000404,7.823399724038635,78244.95,0.35516803391274954,0.3017471809342315,16.59,13783.03,19960619,30.2,0.76,2020-04-24,2.06
29,002519,2.6420071823486513,40360.2,0.13478583964556373,2.1723592022806923,17.16,30337.43,20101207,25.74,2.2,2020-04-24,22.19
30,002732,1.7152625876484657,21815.43,0.03631165251624615,0.42500411904214513,10.89,14680.34,20141205,19.47,2.89,2020-04-24,1.36
31,002507,0.8535229505674619,51650.25,0.0,0.340128308871754,12.72,54375.03,20101123,32.0,7.94,2020-04-24,0.27
32,002293,1.36194350812016,76142.38,0.00569113826586492,0.6126032094606924,17.82,11486.34,20090910,14.26,1.76,2020-04-24,10.58
33,002019,1.073443162191507,93724.04,0.2388714862513837,0.3873516914637197,13.07,75256.73,20040713,20.19,2.66,2020-04-24,7.71
34,002626,2.0234365894311495,91838.02,0.3981122368065426,0.6635798683306938,31.16,102016.78,20111028,16.42,3.82,2020-04-24,21.11
35,002020,1.0255826005822413,53530.13,0.09685602899303657,0.8767160797477731,10.03,41089.4,20040715,11.26,1.97,2020-04-24,20.23
36,300357,0.7959997293419935,23292.56,0.0,0.32473761786976746,18.79,12927.42,20140121,62.01,16.72,2020-04-24,2.91
37,300314,1.4272422272570524,8856.98,0.0,0.31993162917218115,13.52,30951.13,20120508,53.0,3.53,2020-04-24,0.0
38,000920,0.6886661125539844,7440.39,0.03175262923677317,0.39195080250284203,21.62,62413.55,19990616,27.53,2.32,2020-04-24,0.0
39,300152,2.7812399134028736,3532.87,0.27364592781655517,0.5892730367519611,21.34,107743.21,20101229,17.51,2.71,2020-04-24,28.46
40,001872,0.6736781086298008,550187.34,0.1658364130156928,0.6966657790873603,14.56,10323.29,19930505,8.11,0.75,2020-04-24,0.0
41,000828,1.38662959958867,149056.04,0.28307176753741786,0.457925860967907,11.68,7452.54,19970617,6.83,1.09,2020-04-24,0.26
42,002320,1.8389264439642585,40304.56,0.0,0.4203803350162406,10.53,2560338.42,20091216,69.65,4.03,2020-04-24,0.0
43,000557,3.863512560166457,17305.6,0.0,0.5168094880095737,11.3,6652.74,19940617,284.03,0.84,2020-04-24,0.14
44,002492,3.124837779747171,15338.11,0.057595737689738434,0.3000537985906217,17.24,134642.73,20101102,36.92,1.64,2020-04-24,3.98
45,000029,1.1153197449357628,60360.77,0.014651786141846007,0.582175561032931,16.13,10234.35,19930915,20.09,3.03,2020-04-24,0.0
46,000534,2.9893825644657506,15533.34,0.42258796090000605,0.6629958699628297,15.1,16582.18,19940110,61.93,4.62,2020-04-24,24.95
47,000715,1.0109810996262953,15601.43,0.0,0.352767621464589,14.2,15223.1,19970508,14.43,1.57,2020-04-24,15.8
48,000789,1.1939754928935542,245310.79,0.15047258027363225,0.4162971032660796,11.9,21420.49,19970923,7.32,2.01,2020-04-24,0.01
49,002233,1.1979593937106867,207772.46,0.0,0.4483869927515731,18.24,26231.42,20080516,10.16,1.56,2020-04-24,3.51
50,300129,2.10105036761242,32334.85,0.0002152367285463652,0.4192935005679571,10.8,141709.2,20101019,18.07,1.42,2020-04-24,0.99
51,300118,2.6678728642955583,260926.53,0.43456362703484624,0.4444173765906731,11.66,53644.63,20100902,11.3,1.47,2020-04-24,16.16
52,002706,1.2131046271226535,33128.65,0.0,0.5512729390810539,13.21,12896.13,20140121,24.08,4.55,2020-04-24,15.44
53,002533,0.9417246733144252,19955.24,0.09240184775336036,0.43761806777558704,12.66,19846.13,20101231,24.44,1.43,2020-04-24,21.36
54,002559,2.6444854784050453,24690.08,0.13425990569584223,0.5877780877449976,15.92,15227.6,20110303,25.93,2.05,2020-04-24,11.06
55,002795,1.2221264296215086,7357.14,0.03288267625525506,0.43843265586719354,25.03,172530.62,20160428,31.68,3.98,2020-04-24,28.21
56,002282,2.2042392516948426,15925.32,0.101837895842542,0.4980033767078943,14.59,9222.04,20090821,35.56,1.39,2020-04-24,23.15
57,300154,0.9669593409277641,10886.27,0.0,1.3299222195643012,13.41,15688.02,20101229,21.98,1.61,2020-04-24,0.0
58,300193,1.0124407433762683,21711.65,0.0013543086398288965,0.5422876557427286,27.03,3359275.52,20110322,20.28,1.8,2020-04-24,9.85
59,002111,1.8330155033467634,60950.57,0.18578562762213197,0.37360417037407745,25.47,50217.98,20070126,15.46,1.96,2020-04-24,4.77
60,000768,0.9726312833434264,55346.63,0.11914040546804827,0.569775692827208,20.08,11027.64,19970626,103.55,2.9,2020-04-24,0.0
61,300231,1.0864470235589758,14686.58,0.4691404410144805,0.498689006536877,26.43,26303.54,20110615,27.34,2.98,2020-04-24,4.76
62,002315,1.022950553211096,15230.23,0.0,0.7755553912201939,28.17,106008.36,20091209,33.38,2.54,2020-04-24,3.4
63,300183,1.8025119852511,35647.18,0.0,0.6755665644059854,13.63,46359.65,20110222,57.16,2.53,2020-04-24,0.0
